MIN,76,LAC,89
BOS,100,MIA,90
NOP,114,MIL,103
GSW,98,PHO,80
NOP,111,BRK,91
CLE,127,DAL,94
ORL,86,IND,118
DET,85,LAL,93
TOR,107,SAS,117
NYK,82,UTA,87
MEM,92,BOS,95
SAC,113,CHO,106
ATL,102,DEN,115
DET,98,GSW,105
BRK,98,MIA,104
ORL,91,MIL,97
LAC,120,OKC,108
CHI,104,PHI,95
MIN,97,PHO,106
HOU,100,POR,105
MIL,103,IND,109
NYK,101,LAL,94
CLE,128,SAS,125
HOU,91,UTA,109
MEM,87,WAS,107
ORL,88,BOS,95
CHI,91,CHO,101
LAC,99,DAL,129
GSW,103,DEN,114
MIN,99,OKC,113
SAC,107,PHI,114
ATL,96,PHO,87
DET,99,POR,118
MIA,92,TOR,102
NYK,94,GSW,125
BOS,93,IND,89
MIL,83,MEM,96
BRK,94,PHI,87
DET,85,UTA,88
SAC,97,WAS,113
HOU,100,LAC,98
ATL,91,LAL,86
DEN,118,NOP,111
CHI,100,OKC,109
CLE,123,ORL,108
NYK,89,PHO,102
MIN,97,SAS,123
POR,113,TOR,97
PHI,89,BOS,108
OKC,115,DAL,119
LAL,105,GSW,108
TOR,117,IND,98
DEN,81,MEM,92
CLE,92,MIA,106
BRK,122,MIN,106
ATL,110,SAC,103
CHO,66,UTA,94
POR,97,WAS,105
MEM,95,DET,105
ORL,94,HOU,107
CHO,92,LAC,99
MIL,84,NOP,85
SAS,100,NYK,104
IND,86,CHI,103
BRK,92,CLE,117
ORL,102,DAL,107
ATL,95,GSW,114
POR,104,MIA,108
SAS,114,MIL,103
BOS,118,OKC,122
DET,83,PHI,94
LAC,116,SAC,105
MIN,100,TOR,105
WAS,88,UTA,84
DEN,108,HOU,118
UTA,80,LAL,73
MIN,95,NYK,92
NOP,72,PHO,74
MIL,127,BRK,129
TOR,92,CHI,108
IND,92,CLE,95
MEM,112,DAL,101
NOP,96,GSW,112
WAS,99,LAC,113
DEN,91,MIA,108
ATL,115,OKC,123
POR,104,ORL,111
NYK,81,PHI,97
CHO,91,SAC,101
BOS,89,SAS,101
CHI,91,DET,107
UTA,91,GSW,106
PHO,117,HOU,102
BRK,123,IND,111
POR,86,MEM,97
SAS,114,ATL,95
DET,105,BOS,97
NOP,100,LAC,107
PHI,87,LAL,101
CLE,108,MIL,90
CHO,109,MIN,98
MIA,75,OKC,93
DEN,119,ORL,100
DAL,92,PHO,98
WAS,86,SAC,109
NYK,89,TOR,106
BOS,110,BRK,91
CHO,86,CHI,98
WAS,76,GSW,107
HOU,110,IND,100
MEM,103,NYK,82
MIN,106,UTA,104
SAS,94,DAL,101
TOR,104,DET,108
MIA,88,MIL,89
LAL,117,OKC,127
GSW,122,POR,108
PHI,106,SAC,107
MIA,93,BOS,86
BRK,91,CHO,88
PHI,99,DEN,85
CLE,111,MEM,89
LAL,101,MIN,99
HOU,95,NOP,93
LAC,111,NYK,80
ATL,95,ORL,83
SAC,108,PHO,99
OKC,91,SAS,130
CHI,116,TOR,103
POR,92,UTA,89
IND,103,WAS,101
IND,107,MIL,111
MIA,86,ATL,99
CLE,98,BRK,106
UTA,91,DEN,107
MIN,110,HOU,120
GSW,107,MEM,84
SAC,88,NOP,102
BOS,96,NYK,92
DET,111,ORL,97
LAC,119,PHI,98
POR,87,PHO,81
DAL,76,SAS,94
LAL,83,TOR,94
CHO,107,WAS,110
NYK,80,CHI,111
ATL,100,CHO,115
GSW,108,MIL,95
DEN,114,POR,120
OKC,89,UTA,94
LAC,119,BOS,106
LAL,99,BRK,107
PHI,86,CLE,87
DAL,99,IND,104
DET,102,MIA,109
MIN,88,NOP,110
OKC,109,PHO,97
MEM,89,SAS,103
HOU,99,WAS,91
MIL,88,ATL,101
BOS,116,CHO,104
SAC,83,MEM,97
UTA,104,MIN,84
LAL,113,PHI,111
PHO,86,POR,109
HOU,96,TOR,99
IND,106,BRK,111
ATL,95,DET,105
GSW,110,LAC,106
SAS,95,MIA,81
IND,87,BOS,100
DET,78,CHO,102
SAC,111,HOU,115
NOP,113,LAL,92
CHI,91,MIL,95
TOR,113,MIN,99
BRK,100,NYK,98
DAL,135,OKC,131
SAS,103,ORL,91
LAC,126,POR,122
DEN,84,UTA,98
PHI,93,WAS,106
MIA,88,CLE,114
HOU,108,DAL,101
PHO,106,GSW,107
MIL,110,BOS,101
TOR,109,BRK,114
DET,82,CHI,88
CHO,74,IND,93
POR,107,LAL,77
OKC,92,MEM,100
ORL,97,MIN,84
NOP,101,SAC,95
DEN,93,SAS,123
NYK,87,WAS,101
BRK,99,ATL,131
PHI,91,CHO,92
GSW,123,DAL,110
LAC,107,DEN,92
MIA,98,DET,99
WAS,92,MEM,83
ORL,97,MIL,90
UTA,85,PHO,87
NOP,90,POR,99
BOS,117,TOR,116
CHI,94,CLE,99
MIA,89,IND,112
LAC,106,LAL,78
PHI,91,NYK,101
HOU,115,OKC,112
UTA,101,SAC,95
GSW,92,SAS,107
POR,96,BRK,106
PHO,69,ATL,96
LAL,100,LAC,105
CHO,100,MIA,105
GSW,100,NOP,103
SAS,113,OKC,88
MIN,111,SAC,116
ATL,114,BRK,111
TOR,92,CHO,74
PHO,104,DAL,107
LAL,101,DEN,119
BOS,113,DET,103
NOP,74,MEM,110
CLE,104,MIL,99
IND,102,NYK,86
CHI,103,ORL,105
WAS,119,PHI,90
MIN,91,POR,116
HOU,98,SAS,110
SAC,91,UTA,103
POR,105,GSW,116
CHI,89,MIA,78
CHO,80,ATL,104
WAS,80,BRK,117
BOS,99,CLE,90
DAL,144,DEN,143
IND,107,DET,103
SAS,104,HOU,103
MIN,98,LAL,106
PHO,75,NOP,90
MIL,99,NYK,91
SAC,103,OKC,116
TOR,101,ORL,99
MEM,89,UTA,88
